Be2+,Beryllium diatomic cation,1
Mg2-,magnesium diatomic anion,-1
Mg2+,magnesium diatomic cation,1
B2-,Boron diatomic anion,-1
B2+,Boron diatomic cation,1
Al2-,aluminum diatomic anion,-1
Al2+,aluminum diatomic cation,1
B2H6+,Diborane cation,1
BC-,boron monocarbide anion,-1
BC+,boron monocarbide cation,1
C2-,carbon diatomic anion,-1
C2+,carbon diatomic cation,1
SiC-,silicon monocarbide anion,-1
SiC+,silicon monocarbide cation,1
Si2-,silcon diatomic anion,-1
Si2+,silcon diatomic cation,1
C2H-,Ethynyl anion,-1
C2H+,Ethynyl cation,1
C2H2+,acetylene cation,1
H2CC-,vinylidene anion,-1
HCCH-,acetylene anion,-1
C2H3-,vinyl anion,-1
C2H3+,vinyl cation,1
C2H4-,Ethylene anion,-1
C2H4+,Ethylene cation,1
C2H5-,Ethyl anion,-1
C2H5+,Ethyl cation,1
C2H6+,ethane cation,1
C2H7+,"Ethane, protonated",1
LiN+,Lithium Nitride cation,1
BeN-,Beryllium mononitride anion,-1
BeN+,Beryllium mononitride cation,1
BN-,boron nitride anion,-1
AlN-,aluminum mononitride anion,-1
AlN+,aluminum mononitride cation,1
BN+,boron nitride cation,1
CN-,cyanide anion,-1
CN+,Cyano cation,1
CP-,carbon monophosphide anion,-1
CP+,carbon monophosphide cation,1
SiN-,silicon mononitride anion,-1
SiN+,silicon mononitride cation,1
SiP-,Silicon monophosphide anion,-1
SiP+,Silicon monophosphide cation,1
N2-,nitrogen diatomic anion,-1
N2+,diatomic nitrogen cation,1
PN-,phosphorus nitride anion,-1
PN+,phosphorus nitride cation,1
P2-,phosphorus diatomic anion,-1
P2+,phosphorus diatomic cation,1
HCN-,Hydrogen cyanide anion,-1
HCN+,hydrogen cyanide cation,1
HNC+,hydrogen isocyanide cation,1
NNH+,Dinitrogen monohydride cation,1
HPO+,HPO cation,1
CNH2+,CNH2+,1
H2CN+,hydrocyanonium cation,1
HCNH+,HCNH+,1
N2H2+,trans-diazine cation,1
CH2NH+,Methanimine cation,1
CHNH2+,Aminocarbene cation,1
CH2NH2+,methyleneamine cation,1
N2H4+,hydrazine cation,1
CH3NH2+,methyl amine cation,1
N2H5+,protonated hydrazine,1
CH3NH3+,protonated methylamine,1
CH3PH3+,"methyl phosphine, protonated",1
N2H7+,ammonia ammonium dimer,1
LiO-,lithium oxide anion,-1
LiO+,lithium oxide cation,1
LiS+,Lithium sulfide cation,1
NaO-,sodium oxide anion,-1
NaO+,sodium oxide cation,1
KO+,Potassium monoxide cation,1
BeO-,Beryllium monoxide anion,-1
BeO+,Beryllium monoxide cation,1
MgO-,magnesium oxide anion,-1
MgO+,magnesium oxide cation,1
MgS-,magnesium sulfide anion,-1
MgS+,magnesium sulfide cation,1
BeS-,Beryllium monosulfide anion,-1
BeS+,Beryllium monosulfide cation,1
BO-,boron monoxide anion,-1
AlO-,Aluminum monoxide anion,-1
AlO+,aluminum monoxide cation,1
BS-,boron monosulfide anion,-1
BS+,boron monosulfide cation,1
AlS-,aluminum monosulfide anion,-1
AlS+,aluminum monosulfide cation,1
BO+,boron monoxide cation,1
CO-,carbon monoxide anion,-1
CO+,carbon monoxide cation,1
CS-,carbon monosulfide anion,-1
CS+,carbon monosulfide cation,1
SiO-,silicon monoxide anion,-1
SiO+,silicon monoxide cation,1
SiS-,silicon monosulfide anion,-1
SiS+,silicon monosulfide cation,1
CSe-,Carbon monoselenide anion,-1
CSe+,Carbon monoselenide cation,1
GeO+,Germanium monoxide cation,1
SiSe+,Silicon Monoselenide cation,1
NO-,nitric oxide anion,-1
NO+,nitric oxide cation,1
NS-,nitrogen sulfide anion,-1
NS+,nitrogen sulfide cation,1
PO-,phosphorus monoxide anion,-1
PO+,phosphorus monoxide cation,1
PS-,phosphorus monosulfide anion,-1
PS+,phosphorus monosulfide cation,1
O2-,oxygen diatomic anion,-1
O2+,diatomic oxygen cation,1
SO-,sulfur monoxide anion,-1
SO+,sulfur monoxide cation,1
S2-,sulfur diatomic anion,-1
S2+,sulfur diatomic cation,1
SeO-,selenium monoxide anion,-1
SeO+,selenium monoxide cation,1
SeS-,selenium monosulfide anion,-1
SeS+,selenium monosulfide cation,1
Se2-,selenium diatomic anion,-1
Se2+,selenium diatomic cation,1
COH+,"Carbon Monoxide, protonated",1
HCO-,formyl anion,-1
HCO+,Formyl cation,1
HCS-,Thioformyl anion,-1
HCS+,Thioformyl cation,1
HNO-,Nitrosyl hydride anion,-1
HNO+,Nitrosyl hydride cation,1
NOH+,nitric oxide O-protonated,1
HNS-,HNS-,-1
HO2-,Hydroperoxy anion,-1
HO2+,Hydroperoxy cation,1
HSO+,"Sulfur Monoxide, S-protonated",1
SOH+,"Sulfur Monoxide, protonated",1
KOH2+,"Potassium hydroxide, protonated",1
H2CO-,formaldehyde anion,-1
H2CO+,formaldehyde cation,1
H2CS-,thioformaldehyde anion,-1
H2CS+,thioformaldehyde cation,1
H2O2+,Hydrogen peroxide cation,1
H2S2+,hydrogen disulfide cation,1
CH2OH+,hydroxymethyl cation,1
CH3O-,methoxy anion,-1
CH3O+,Methoxy cation,1
H2CSH+,"Thioformaldehyde, protonated",1
NH2OH+,Hydroxylamine cation,1
H3O2+,"hydrogen peroxide, protonated",1
CH3OH-,Methyl alcohol anion,-1
CH3OH+,Methyl alcohol cation,1
CH3SH+,Methanethiol cation,1
NH2OH2+,protonated hydroxylamine,1
NH3OH+,N-protonated hydroxylamine,1
CH3OH2+,"Methanol, protonated",1
CH3SH2+,protonated methylsulfide,1
H5O2+,Dihydroxonium ion,1
LiCl-,lithium chloride anion,-1
LiCl+,lithium chloride cation,1
NaF-,sodium fluoride anion,-1
NaF+,sodium fluoride cation,1
NaCl-,sodium chloride anion,-1
NaCl+,sodium chloride cation,1
LiBr-,lithium bromide anion,-1
LiBr+,lithium bromide cation,1
NaBr-,sodium bromide anion,-1
NaBr+,sodium bromide cation,1
LiF-,lithium fluoride anion,-1
LiF+,lithium fluoride cation,1
BeF-,Beryllium monofluoride anion,-1
BeF+,Beryllium monofluoride cation,1
MgF-,magnesium fluoride anion,-1
MgF+,magnesium fluoride cation,1
MgCl-,magnesium monochloride anion,-1
MgCl+,magnesium monochloride cation,1
ZnF-,Zinc monofluoride anion,-1
ZnF+,Zinc monofluoride cation,1
BeCl-,beryllium monochloride anion,-1
BeCl+,beryllium monochloride cation,1
BF-,Boron monofluoride anion,-1
BF+,Boron monofluoride cation,1
AlF-,Aluminum monofluoride anion,-1
AlF+,Aluminum monofluoride cation,1
BCl-,boron monochloride anion,-1
BCl+,boron monochloride cation,1
AlCl-,aluminum monochloride anion,-1
AlCl+,aluminum monochloride cation,1
GaF+,Gallium monofluoride cation,1
GaCl+,Gallium monochloride cation,1
CF-,carbon monofluoride anion,-1
CF+,carbon monofluoride cation,1
CCl-,carbon monochloride anion,-1
CCl+,carbon monochloride cation,1
