34,Selenium,Se,78.96,4,16,solid,Nonmetal,0.5,1.2,2.55,9.7524,4.809,494.15,958,20,0.321,[Ar] 4s2 3d10 4p4,6
35,Bromine,Br,79.904,4,17,liq,Halogen,2,1.1,2.96,11.8138,3.122,266.05,332,19,0.474,[Ar] 4s2 3d10 4p5,7
36,Krypton,Kr,83.798,4,18,gas,Noble Gas,,1,,13.9996,0.003733,115.93,119.93,23,0.248,[Ar] 4s2 3d10 4p6,8
37,Rubidium,Rb,85.4678,5,1,solid,Alkali Metal,1.5,3,0.82,4.1771,1.532,312.79,961,20,0.363,[Kr] 5s1,1
38,Strontium,Sr,87.62,5,2,solid,Alkaline Earth Metal,1.1,2.5,0.95,5.6949,2.64,1042.15,1655,18,0.301,[Kr] 5s2,2
39,Yttrium,Y,88.90585,5,3,solid,Transition Metal,0.9,2.3,1.22,6.2173,4.469,1799.15,3609,21,0.298,[Kr] 5s2 4d1,2
40,Zirconium,Zr,91.224,5,4,solid,Transition Metal,0.72,2.2,1.33,6.6339,6.506,2125.15,4682,20,0.278,[Kr] 5s2 4d2,2
41,Niobium,Nb,92.90638,5,5,solid,Transition Metal,0.69,2.1,1.6,6.7589,8.57,2741.15,5017,24,0.265,[Kr] 5s2 4d3,1
42,Molybdenum,Mo,95.96,5,6,solid,Transition Metal,0.65,2,2.16,7.0924,10.22,2890.15,4912,20,0.251,[Kr] 5s1 4d5,1
43,Technetium,Tc,98,5,7,artificial,Transition Metal,0.56,2,1.9,7.28,11.5,2473.15,5150,23,0.21,[Kr] 5s2 4d5,1
44,Ruthenium,Ru,101.07,5,8,solid,Transition Metal,0.68,1.9,2.2,7.3605,12.37,2523.15,4423,16,0.238,[Kr] 5s1 4d7,1
45,Rhodium,Rh,102.9055,5,9,solid,Transition Metal,0.68,1.8,2.28,7.4589,12.41,2239.15,3968,20,0.243,[Kr] 5s1 4d8,1
46,Palladium,Pd,106.42,5,10,solid,Transition Metal,0.86,1.8,2.2,8.3369,12.02,1825.15,3236,21,0.244,[Kr] 5s0 4d10,-1
47,Silver,Ag,107.8682,5,11,solid,Transition Metal,1.3,1.8,1.93,7.5762,10.501,1234.15,2435,27,0.235,[Kr] 5s1 4d10,1
48,Cadmium,Cd,112.411,5,12,solid,Transition Metal,0.97,1.7,1.69,8.9938,8.69,594.33,1040,22,0.232,[Kr] 5s2 4d10,2
49,Indium,In,114.818,5,13,solid,Metal,0.8,2,1.78,5.7864,7.31,429.91,2345,34,0.233,[Kr] 5s2 4d10 5p1,3
50,Tin,Sn,118.71,5,14,solid,Metal,0.69,1.7,1.96,7.3439,7.287,505.21,2875,28,0.228,[Kr] 5s2 4d10 5p2,4
51,Antimony,Sb,121.76,5,15,solid,Metalloid,0.76,1.5,2.05,8.6084,6.685,904.05,1860,29,0.207,[Kr] 5s2 4d10 5p3,5
52,Tellurium,Te,127.6,5,16,solid,Metalloid,0.97,1.4,2.1,9.0096,6.232,722.8,1261,29,0.202,[Kr] 5s2 4d10 5p4,6
53,Iodine,I,126.90447,5,17,solid,Halogen,2.2,1.3,2.66,10.4513,4.93,386.65,457.4,24,0.214,[Kr] 5s2 4d10 5p5,7
